Roll_No,Study_Hours_Per_Day,Attendance_Percent,Stream,Result
101,7.8,88,Science,Pass
102,2.2,95,Science,Pass
103,6.8,76,Commerce,Pass
104,7.6,93,Science,Pass
105,5.7,75,Science,Pass
106,3.7,89,Commerce,Pass
107,3.5,74,Commerce,Pass
108,7.7,80,Science,Pass
109,3.3,83,Commerce,Fail
110,2.7,81,Science,Fail
111,7.1,72,Commerce,Pass
112,9.2,89,Commerce,Pass
113,2.0,76,Science,Pass
114,5.8,82,Commerce,Fail
115,8.1,72,Science,Pass
116,6.6,76,Science,Pass
117,7.4,93,Science,Pass
118,4.2,98,Science,Pass
119,8.9,85,Science,Pass
120,7.4,97,Commerce,Pass
121,6.1,89,Science,Pass
122,3.1,70,Science,Fail
123,4.8,69,Science,Pass
124,7.1,72,Commerce,Pass
125,5.3,89,Science,Pass
126,5.3,89,Science,Pass
127,6.6,80,Commerce,Pass
128,5.8,78,Commerce,Pass
129,6.9,89,Commerce,Pass
130,6.5,80,Science,Pass
